uuid,data_generating_centre,epirr_id,antibody,flagstat_qc:total,flagstat_qc:mapped,flagstat_qc:mapped_pct,flagstat_qc:paired,flagstat_qc:read1,flagstat_qc:read2,flagstat_qc:paired_properly,flagstat_qc:paired_properly_pct,flagstat_qc:with_itself,flagstat_qc:singletons,flagstat_qc:singletons_pct,flagstat_qc:diff_chroms,ctl_flagstat_qc:total,ctl_flagstat_qc:mapped,ctl_flagstat_qc:mapped_pct,ctl_flagstat_qc:paired,ctl_flagstat_qc:read1,ctl_flagstat_qc:read2,ctl_flagstat_qc:paired_properly,ctl_flagstat_qc:paired_properly_pct,ctl_flagstat_qc:with_itself,ctl_flagstat_qc:singletons,ctl_flagstat_qc:singletons_pct,ctl_flagstat_qc:diff_chroms,dup_qc:unpaired_reads,dup_qc:paired_reads,dup_qc:unpaired_dupes,dup_qc:paired_dupes,dup_qc:paired_opt_dupes,dup_qc:dupes_pct,ctl_dup_qc:unpaired_reads,ctl_dup_qc:paired_reads,ctl_dup_qc:unpaired_dupes,ctl_dup_qc:paired_dupes,ctl_dup_qc:paired_opt_dupes,ctl_dup_qc:dupes_pct,pbc_qc:total_read_pairs,pbc_qc:distinct_read_pairs,pbc_qc:one_read_pair,pbc_qc:two_read_pair,pbc_qc:NRF,pbc_qc:PBC1,pbc_qc:PBC2,ctl_pbc_qc:total_read_pairs,ctl_pbc_qc:distinct_read_pairs,ctl_pbc_qc:one_read_pair,ctl_pbc_qc:two_read_pair,ctl_pbc_qc:NRF,ctl_pbc_qc:PBC1,ctl_pbc_qc:PBC2,nodup_flagstat_qc:total,nodup_flagstat_qc:mapped,nodup_flagstat_qc:paired,nodup_flagstat_qc:read1,nodup_flagstat_qc:read2,nodup_flagstat_qc:paired_properly,nodup_flagstat_qc:paired_properly_pct,nodup_flagstat_qc:with_itself,ctl_nodup_flagstat_qc:total,ctl_nodup_flagstat_qc:mapped,ctl_nodup_flagstat_qc:paired,ctl_nodup_flagstat_qc:read1,ctl_nodup_flagstat_qc:read2,ctl_nodup_flagstat_qc:paired_properly,ctl_nodup_flagstat_qc:paired_properly_pct,ctl_nodup_flagstat_qc:with_itself,overlap_reproducibility_qc:N1,overlap_reproducibility_qc:N_opt,overlap_reproducibility_qc:N_consv,xcor_score:num_reads,xcor_score:est_frag_len,xcor_score:corr_est_frag_len,xcor_score:phantom_peak,xcor_score:corr_phantom_peak,xcor_score:min_corr,xcor_score:NSC,xcor_score:RSC,frip_macs2_qc:rep1.FRiP,frip_macs2_qc:rep1-pr1.FRiP,frip_macs2_qc:rep1-pr2.FRiP,overlap_frip_qc:rep1-pr.FRiP,jsd_qc:pct_gen_enrich,jsd_qc:auc,jsd_qc:ch_div,jsd_qc:elbow_pt,jsd_qc:jsd,jsd_qc:syn_auc,jsd_qc:syn_elbow_pt,jsd_qc:syn_jsd
7abd0914-eb79-4747-a15c-9fb51ffafe6b,BLUEPRINT,IHECRE00000002.3,H3K4me3,44964539,43579010,96.92,0,0,0,0,0,0,0,0,0,30192492,29883561,98.98,0,0,0,0,0,0,0,0,0,34537037,0,14880353,0,0,0.430852,23667246,0,546531,0,0,0.023092,34529655,23371529,15895711,4886511,0.676854,0.680131,3.252978,23661556,23125333,22620948,492565,0.977338,0.978189,45.924798,19656684,19656684,0,0,0,0,0,0,23120715,23120715,0,0,0,0,0,0,46766,46766,46766,1.5e+07,70,0.144490881564567,40,0.1491729,0.1309095,1.103746,0.74364,0.154482629907,0.218751984389,0.218947290867,0.134177957033,0.240515793092,0.487717210483,0.179211634351,6.16194742951e-56,0.645743281338,0.522541929373,0.184499096752,0.304971739381
dfcf4ab0-15d4-470b-896d-4b9f4f023bfa,BLUEPRINT,IHECRE00000002.3,H3K9me3,45174698,44308900,98.08,0,0,0,0,0,0,0,0,0,30192492,29883561,98.98,0,0,0,0,0,0,0,0,0,31427067,0,2420084,0,0,0.077006,23667246,0,546531,0,0,0.023092,31425427,29052556,26914160,1997706,0.924492,0.926396,13.472533,23661556,23125333,22620948,492565,0.977338,0.978189,45.924798,29006983,29006983,0,0,0,0,0,0,23120715,23120715,0,0,0,0,0,0,15862,15862,15862,1.5e+07,185,0.188302100752433,40,0.2181743,0.1799664,1.046318,0.2181662,0.0256165687612,0.0547477783887,0.0546416606713,0.0105883279337,0.275308172244,0.489925146627,0.138597767977,1.24299856319e-83,0.571421145441,0.513824927207,0.0637679429447,0.248737078077
08828406-540b-464b-b2f8-9402ccb1159b,BLUEPRINT,IHECRE00000004.3,H3K27ac,42615122,41803413,98.1,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,33624368,0,13926202,0,0,0.41417,26153708,0,3417654,0,0,0.130676,33621657,20029505,11666832,5061681,0.595732,0.582482,2.304932,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,19698166,19698166,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,24742,24742,24742,1.5e+07,185,0.163359047113459,40,0.1447464,0.1297798,1.25874,2.24361,0.0909679381376,0.0929636115047,0.0928139410792,0.0706271789917,0.263682952081,0.487752995923,0.170278742997,2.86589018883e-56,0.602274408506,0.495798145338,0.111462862547,0.256254689488
5bccbd26-89db-49c5-8936-a07080d84fbf,BLUEPRINT,IHECRE00000004.3,H3K27me3,95526328,80969883,84.76,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,63287417,0,44032010,0,0,0.695747,26153708,0,3417654,0,0,0.130676,63284283,20257293,5420165,4335531,0.3201,0.267566,1.250173,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,19255407,19255407,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,46811,46811,46811,1.5e+07,180,0.158464223616086,40,0.1545164,0.1384946,1.144191,1.246406,0.236895089616,0.233198424218,0.23263016399,0.193187203598,0.194131992864,0.487622730299,0.241733876611,4.4847542357e-55,0.697301339134,0.522715234631,0.216134553151,0.353987210967
f2ae12dd-4c96-490e-afaa-ca77964f5b1c,BLUEPRINT,IHECRE00000004.3,H3K36me3,35129989,29374973,83.62,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,23469202,0,17634176,0,0,0.751375,26153708,0,3417654,0,0,0.130676,23466815,6219685,1672305,1101631,0.265042,0.268873,1.518026,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,5835026,5835026,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,70235,70235,70235,1.5e+07,175,0.128542648906892,40,0.07368614,0.06750363,1.904233,9.87286,0.387766106416,0.340722821521,0.340061572593,0.246630424238,0.109050778919,0.477471717817,0.587123680959,3.36125520802e-16,0.627125760235,0.521674231077,0.21494828884,0.319274356282
62c643a6-3471-485e-af2b-390ee2d6adff,BLUEPRINT,IHECRE00000004.3,H3K4me1,78803361,43993407,55.83,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,35914618,0,28449198,0,0,0.792134,26153708,0,3417654,0,0,0.130676,35912234,8033615,2990930,646088,0.223701,0.372302,4.629292,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,7465420,7465420,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,83085,83085,83085,1.5e+07,160,0.0995107600537284,40,0.07496267,0.06766005,1.470746,4.361548,0.286990600021,0.302060440112,0.301293920489,0.21238514597,0.139020807583,0.480062734206,0.4774718398,8.25326343304e-21,0.749817063662,0.527435155641,0.211953075644,0.322069162618
d97cec1d-7d0f-4eca-828b-b016663b72c7,BLUEPRINT,IHECRE00000004.3,H3K4me3,64785443,54502471,84.13,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,46124275,0,37569475,0,0,0.814527,26153708,0,3417654,0,0,0.130676,46120420,9730727,2996587,1085998,0.210985,0.307951,2.759293,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,8554800,8554800,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,37441,37441,37441,1.5e+07,185,0.198297918946807,40,0.1435982,0.09049547,2.191247,2.030075,0.490407637556,0.505077246487,0.504738109834,0.466630231662,0.0908941362507,0.481343848933,0.533818231256,7.68363583783e-24,0.801289151375,0.519937720821,0.419576373047,0.487476592689
d4ddb155-135f-4f63-b728-20a003fec429,BLUEPRINT,IHECRE00000004.3,H3K9me3,59626512,56339185,94.49,0,0,0,0,0,0,0,0,0,33124565,32740632,98.84,0,0,0,0,0,0,0,0,0,35453624,0,14950238,0,0,0.421684,26153708,0,3417654,0,0,0.130676,35453309,20845231,12025251,5315700,0.587963,0.576883,2.262214,26151611,22866869,20002220,2532249,0.874396,0.874725,7.898994,20503386,20503386,0,0,0,0,0,0,22736054,22736054,0,0,0,0,0,0,43118,43118,43118,1.5e+07,200,0.189044660191672,40,0.2235303,0.1679585,1.125544,0.3794402,0.123649630928,0.1083565915,0.10844595402,0.0518595373764,0.218275734261,0.488004761948,0.233416770964,1.06527002647e-58,0.635114979987,0.508224130245,0.118143327735,0.297276923289
2e1ab747-5c43-4469-97d5-a2e674bc3ee6,BLUEPRINT,IHECRE00000008.3,H3K27ac,41497200,40824478,98.38,0,0,0,0,0,0,0,0,0,41671908,41136121,98.71,0,0,0,0,0,0,0,0,0,32564044,0,9604483,0,0,0.294941,32593604,0,3718491,0,0,0.114087,32563148,23210730,16356447,4992613,0.712791,0.704693,3.27613,32580333,29006583,25819356,2862078,0.89031,0.890121,9.021192,22959561,22959561,0,0,0,0,0,0,28875113,28875113,0,0,0,0,0,0,26755,26755,26755,1.5e+07,160,0.169192507648191,40,0.1615374,0.1460721,1.158281,1.494981,0.0560019251772,0.0690865940332,0.0688239570809,0.035967799015,0.279971800065,0.488663172285,0.152133057696,7.90709493648e-66,0.538046759728,0.490842836933,0.0720506593688,0.233655981558
f83f1262-12e2-4b8d-b11c-8637f8303ed6,BLUEPRINT,IHECRE00000008.3,H3K27me3,49341766,37928891,76.87,0,0,0,0,0,0,0,0,0,41671908,41136121,98.71,0,0,0,0,0,0,0,0,0,29417223,0,11737989,0,0,0.399018,32593604,0,3718491,0,0,0.114087,29415504,17942177,10633201,4587048,0.609956,0.592637,2.318092,32580333,29006583,25819356,2862078,0.89031,0.890121,9.021192,17679234,17679234,0,0,0,0,0,0,28875113,28875113,0,0,0,0,0,0,44673,44673,44673,1.5e+07,195,0.155945098212046,40,0.1486443,0.135348,1.152178,1.549083,0.13295725481,0.121045417232,0.120686118774,0.0605986246468,0.222454004238,0.487094021725,0.246332276368,1.39881535098e-50,0.584652540916,0.502949461025,0.118807596367,0.278628050582
