epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00002526.1	H3K27ac	NA	NA	57.9041	0.7938
IHECRE00002527.1	H3K27ac	83.5232	0.8755	53.0713	0.7596
IHECRE00002529.1	H3K27ac	NA	NA	43.3976	0.5865
IHECRE00002530.1	H3K27ac	83.1177	0.9488	45.2396	0.6166
IHECRE00002531.1	H3K27ac	66.9195	0.8519	33.8365	0.4896
IHECRE00002532.1	H3K27ac	86.112	0.9514	45.9602	0.6096
IHECRE00002533.1	H3K27ac	NA	NA	47.3246	0.6039
IHECRE00002534.1	H3K27ac	NA	NA	57.2499	0.8047
IHECRE00002535.1	H3K27ac	NA	NA	43.3877	0.5885
IHECRE00002536.1	H3K27ac	NA	NA	57.4993	0.7035
IHECRE00002538.1	H3K27ac	NA	NA	41.9306	0.5531
IHECRE00002539.1	H3K27ac	NA	NA	51.5651	0.7673
IHECRE00002542.1	H3K27ac	NA	NA	58.3907	0.7905
IHECRE00002543.1	H3K27ac	88.9945	0.934	54.6538	0.7837
IHECRE00002544.1	H3K27ac	82.293	0.9342	43.3688	0.5804
IHECRE00002545.1	H3K27ac	NA	NA	56.9817	0.7955
IHECRE00002546.1	H3K27ac	82.3294	0.8917	53.4157	0.7742
IHECRE00002547.1	H3K27ac	NA	NA	40.5385	0.7072
IHECRE00002549.1	H3K27ac	NA	NA	59.5199	0.8088
IHECRE00002551.1	H3K27ac	81.354	0.9141	42.1929	0.5585
IHECRE00002552.1	H3K27ac	NA	NA	62.41	0.8504
IHECRE00002555.1	H3K27ac	76.3377	0.8925	45.1628	0.6645
IHECRE00002558.1	H3K27ac	NA	NA	53.9948	0.7518
IHECRE00002560.1	H3K27ac	NA	NA	41.3954	0.6057
IHECRE00002561.1	H3K27ac	NA	NA	39.2737	0.5722
IHECRE00002562.1	H3K27ac	87.3516	0.8986	54.6542	0.7763
IHECRE00002563.1	H3K27ac	NA	NA	60.0924	0.8182
IHECRE00002565.1	H3K27ac	83.8955	0.9312	46.4535	0.6451
IHECRE00002566.1	H3K27ac	85.6327	0.9045	54.695	0.7853
IHECRE00002568.1	H3K27ac	NA	NA	31.752	0.5852
IHECRE00002569.1	H3K27ac	81.799	0.8895	53.0321	0.7822
IHECRE00002570.1	H3K27ac	81.2223	0.9077	44.5462	0.6264
IHECRE00002571.1	H3K27ac	90.0352	0.9453	54.515	0.7863
IHECRE00002572.1	H3K27ac	NA	NA	54.2929	0.7613
IHECRE00002573.1	H3K27ac	73.0223	0.884	51.3277	0.7192
IHECRE00002574.1	H3K27ac	86.948	0.9156	53.3805	0.7479
IHECRE00002575.1	H3K27ac	NA	NA	58.8636	0.8003
IHECRE00002577.1	H3K27ac	51.7614	0.7928	39.8993	0.7044
IHECRE00002578.1	H3K27ac	87.994	0.9346	54.1758	0.8002
IHECRE00002579.1	H3K27ac	89.9775	0.9132	55.0462	0.7909
IHECRE00002581.1	H3K27ac	NA	NA	56.8886	0.781
IHECRE00002582.1	H3K27ac	NA	NA	40.8636	0.7002
IHECRE00002583.1	H3K27ac	77.3129	0.8675	52.1816	0.7471
IHECRE00002584.1	H3K27ac	NA	NA	59.1766	0.8111
IHECRE00002585.1	H3K27ac	NA	NA	56.8286	0.7894
IHECRE00002586.1	H3K27ac	87.8413	0.9487	54.8474	0.793
IHECRE00002587.1	H3K27ac	NA	NA	59.3461	0.8218
IHECRE00002588.1	H3K27ac	NA	NA	60.1036	0.799
IHECRE00002589.1	H3K27ac	83.5493	0.9029	53.6166	0.7755
IHECRE00002590.1	H3K27ac	91.9613	0.9647	54.8725	0.7812
IHECRE00002591.1	H3K27ac	42.8316	0.705	35.5606	0.5891
IHECRE00002592.1	H3K27ac	NA	NA	54.4144	0.7689
IHECRE00002593.1	H3K27ac	91.2267	0.9674	55.3596	0.7841
IHECRE00002594.1	H3K27ac	89.6513	0.9134	54.7098	0.7933
IHECRE00002596.1	H3K27ac	NA	NA	44.8186	0.6028
IHECRE00002597.1	H3K27ac	NA	NA	55.1078	0.7733
IHECRE00002598.1	H3K27ac	NA	NA	46.3465	0.7108
IHECRE00002599.1	H3K27ac	87.7234	0.8935	53.7937	0.7801
IHECRE00002600.1	H3K27ac	NA	NA	53.0993	0.7617
IHECRE00002601.1	H3K27ac	80.5535	0.9301	46.7758	0.6303
IHECRE00002602.1	H3K27ac	66.0855	0.8074	47.8806	0.7413
IHECRE00002604.1	H3K27ac	NA	NA	60.0913	0.8131
IHECRE00002605.1	H3K27ac	90.3635	0.9673	54.6387	0.7816
IHECRE00002606.1	H3K27ac	NA	NA	52.0907	0.7688
IHECRE00002607.1	H3K27ac	87.9666	0.9393	54.8734	0.808
IHECRE00002608.1	H3K27ac	73.6074	0.8138	51.3427	0.7341
IHECRE00002610.1	H3K27ac	84.5924	0.9238	45.9698	0.6345
IHECRE00002612.1	H3K27ac	76.049	0.8664	51.4755	0.7704
IHECRE00002613.1	H3K27ac	84.3091	0.9445	41.6777	0.5626
IHECRE00002615.1	H3K27ac	NA	NA	41.8285	0.5669
IHECRE00002617.1	H3K27ac	84.4644	0.8709	54.0742	0.7822
IHECRE00002618.1	H3K27ac	NA	NA	54.6748	0.7862
IHECRE00002619.1	H3K27ac	87.2898	0.9657	45.7659	0.5798
IHECRE00002620.1	H3K27ac	82.0509	0.9097	53.3579	0.7596
IHECRE00002622.1	H3K27ac	NA	NA	55.3759	0.7885
IHECRE00002623.1	H3K27ac	52.6839	0.773	28.5272	0.4278
IHECRE00002624.1	H3K27ac	NA	NA	51.247	0.7428
IHECRE00002625.1	H3K27ac	NA	NA	60.3033	0.8258
IHECRE00002626.1	H3K27ac	78.5962	0.8702	44.3963	0.5298
IHECRE00002627.1	H3K27ac	85.9009	0.9511	48.5243	0.6792
IHECRE00002628.1	H3K27ac	NA	NA	59.7173	0.7999
IHECRE00002629.1	H3K27ac	NA	NA	47.7841	0.6388
IHECRE00002630.1	H3K27ac	79.7307	0.9131	41.5872	0.512
IHECRE00002631.1	H3K27ac	82.3566	0.8715	54.536	0.7627
IHECRE00002632.1	H3K27ac	NA	NA	60.4325	0.8221
IHECRE00002633.1	H3K27ac	NA	NA	57.7236	0.7883
IHECRE00002634.1	H3K27ac	NA	NA	47.5333	0.7495
IHECRE00002635.1	H3K27ac	60.5378	0.8243	45.7078	0.7225
IHECRE00002636.1	H3K27ac	79.2067	0.8964	51.4434	0.7639
IHECRE00002637.1	H3K27ac	NA	NA	47.7495	0.635
IHECRE00002638.1	H3K27ac	86.9624	0.967	46.1053	0.6038
IHECRE00002639.1	H3K27ac	76.9065	0.8648	52.2225	0.7688
IHECRE00002640.1	H3K27ac	89.9314	0.9453	55.4534	0.803
IHECRE00002642.1	H3K27ac	78.1741	0.8764	51.7735	0.7639
IHECRE00002643.1	H3K27ac	NA	NA	34.9526	0.4896
IHECRE00002644.1	H3K27ac	NA	NA	53.0386	0.7813
IHECRE00002646.1	H3K27ac	NA	NA	41.0953	0.5421
IHECRE00002649.1	H3K27ac	NA	NA	46.0344	0.7067
IHECRE00002650.1	H3K27ac	84.5551	0.8866	53.4961	0.7294
IHECRE00002651.1	H3K27ac	90.8461	0.9373	56.5504	0.8094
IHECRE00002653.1	H3K27ac	89.0552	0.9453	55.4593	0.8002
IHECRE00002654.1	H3K27ac	79.2839	0.927	43.4124	0.6091
IHECRE00002655.1	H3K27ac	NA	NA	40.8458	0.6953
IHECRE00002656.1	H3K27ac	NA	NA	58.4531	0.7713
IHECRE00002659.1	H3K27ac	NA	NA	60.1495	0.8072
IHECRE00002660.1	H3K27ac	89.1256	0.9231	54.1086	0.7772
IHECRE00002661.1	H3K27ac	80.5848	0.8999	45.1713	0.6716
IHECRE00002662.1	H3K27ac	84.4619	0.9092	54.1037	0.7898
IHECRE00002663.1	H3K27ac	78.9592	0.9074	52.7674	0.7711
IHECRE00002664.1	H3K27ac	NA	NA	56.7659	0.7741
IHECRE00002665.1	H3K27ac	84.4959	0.9134	49.7888	0.6909
IHECRE00002666.1	H3K27ac	NA	NA	46.3413	0.7053
IHECRE00002667.1	H3K27ac	83.3943	0.9028	54.3185	0.792
IHECRE00002668.1	H3K27ac	NA	NA	57.7873	0.8198
IHECRE00002669.1	H3K27ac	NA	NA	56.3643	0.8015
IHECRE00002670.1	H3K27ac	88.4949	0.9187	54.4035	0.7904
IHECRE00002671.1	H3K27ac	71.2944	0.867	43.336	0.6578
IHECRE00002672.1	H3K27ac	85.6736	0.9487	54.6181	0.786
IHECRE00002673.1	H3K27ac	80.376	0.9238	44.1948	0.6251
IHECRE00002674.1	H3K27ac	NA	NA	59.1967	0.8151
IHECRE00002675.1	H3K27ac	83.6402	0.9466	45.5399	0.6321
IHECRE00002676.1	H3K27ac	NA	NA	56.2021	0.7718
IHECRE00002677.1	H3K27ac	49.5655	0.743	37.2037	0.6333
IHECRE00002679.1	H3K27ac	88.1721	0.9239	54.7541	0.7728
IHECRE00002680.1	H3K27ac	86.0451	0.9597	47.0015	0.6358
IHECRE00002681.1	H3K27ac	NA	NA	58.063	0.7942
IHECRE00002683.1	H3K27ac	90.7174	0.9377	55.6723	0.7826
IHECRE00002684.1	H3K27ac	85.6472	0.95	47.6847	0.648
IHECRE00002685.1	H3K27ac	71.8959	0.8744	39.6563	0.5639
IHECRE00002686.1	H3K27ac	89.7214	0.9361	54.6635	0.7866
IHECRE00002687.1	H3K27ac	72.5016	0.8851	38.5278	0.5317
IHECRE00002688.1	H3K27ac	NA	NA	42.6389	0.6423
IHECRE00002689.1	H3K27ac	NA	NA	54.7344	0.7464
IHECRE00002691.1	H3K27ac	NA	NA	58.9574	0.8015
IHECRE00002692.1	H3K27ac	87.1969	0.954	55.3121	0.8064
IHECRE00002693.1	H3K27ac	87.5334	0.9207	54.0594	0.7862
IHECRE00002694.1	H3K27ac	NA	NA	58.2073	0.7955
IHECRE00002695.1	H3K27ac	81.328	0.8299	53.8198	0.7751
IHECRE00002696.1	H3K27ac	81.2351	0.9168	47.2785	0.6773
IHECRE00002697.1	H3K27ac	NA	NA	45.3836	0.5885
IHECRE00002698.1	H3K27ac	84.7035	0.9372	49.7354	0.7028
IHECRE00002699.1	H3K27ac	NA	NA	47.2218	0.715
IHECRE00002701.1	H3K27ac	86.5651	0.9118	53.9564	0.7794
IHECRE00002702.1	H3K27ac	NA	NA	48.5124	0.6614
IHECRE00002703.1	H3K27ac	89.1004	0.9383	54.8016	0.7902
IHECRE00002708.1	H3K27ac	NA	NA	46.3836	0.6709
IHECRE00002709.1	H3K27ac	80.0026	0.8926	53.5808	0.7586
IHECRE00002710.1	H3K27ac	70.8366	0.8744	41.7701	0.6075
IHECRE00002711.1	H3K27ac	NA	NA	61.6347	0.8382
IHECRE00002713.1	H3K27ac	NA	NA	40.7694	0.557
IHECRE00002714.1	H3K27ac	72.3513	0.813	50.7537	0.7563
IHECRE00002715.1	H3K27ac	NA	NA	54.6131	0.7912
IHECRE00002716.1	H3K27ac	NA	NA	48.3224	0.6604
IHECRE00002717.1	H3K27ac	NA	NA	52.4381	0.7529
IHECRE00002719.1	H3K27ac	78.8352	0.8634	52.2353	0.7656
IHECRE00002720.1	H3K27ac	NA	NA	59.6514	0.8317
IHECRE00002721.1	H3K27ac	78.6523	0.8483	51.5881	0.7333
IHECRE00002722.1	H3K27ac	NA	NA	43.0957	0.5907
IHECRE00002723.1	H3K27ac	75.3713	0.8824	44.042	0.6086
IHECRE00002724.1	H3K27ac	44.5098	0.7311	35.196	0.6123
IHECRE00002725.2	H3K27ac	86.8596	0.9323	55.1926	0.7884
IHECRE00002726.1	H3K27ac	85.6312	0.9452	53.4748	0.7682
IHECRE00002727.1	H3K27ac	46.5031	0.731	37.4825	0.6383
IHECRE00002728.1	H3K27ac	NA	NA	54.6767	0.777
IHECRE00002732.1	H3K27ac	85.7198	0.947	46.2934	0.6092
IHECRE00002733.1	H3K27ac	83.8125	0.941	45.313	0.6175
IHECRE00003105.2	H3K27ac	NA	NA	59.5052	0.7948
IHECRE00003106.2	H3K27ac	NA	NA	47.641	0.6307
IHECRE00003107.2	H3K27ac	NA	NA	40.3077	0.5161
IHECRE00003108.2	H3K27ac	NA	NA	51.7306	0.6945
IHECRE00003109.2	H3K27ac	NA	NA	49.2258	0.6221
IHECRE00003110.2	H3K27ac	NA	NA	31.1194	0.4439
IHECRE00003111.2	H3K27ac	NA	NA	46.7686	0.6351
IHECRE00003112.2	H3K27ac	NA	NA	35.6595	0.5234
IHECRE00003113.2	H3K27ac	NA	NA	40.2691	0.5022
IHECRE00003114.2	H3K27ac	NA	NA	33.3529	0.4233
IHECRE00003115.2	H3K27ac	NA	NA	35.6084	0.4771
IHECRE00003116.2	H3K27ac	NA	NA	50.502	0.6766
IHECRE00003117.2	H3K27ac	NA	NA	47.7531	0.6328
IHECRE00003118.2	H3K27ac	NA	NA	44.8657	0.5963
IHECRE00003119.2	H3K27ac	NA	NA	48.4214	0.6861
IHECRE00003120.2	H3K27ac	NA	NA	50.4101	0.6513
IHECRE00003121.2	H3K27ac	NA	NA	29.2141	0.4318
IHECRE00003122.2	H3K27ac	NA	NA	38.8914	0.4902
IHECRE00003123.2	H3K27ac	NA	NA	46.7295	0.6375
IHECRE00003124.2	H3K27ac	NA	NA	51.6002	0.7261
IHECRE00003125.2	H3K27ac	NA	NA	37.7176	0.4576
IHECRE00003126.2	H3K27ac	NA	NA	41.2887	0.5799
IHECRE00003127.2	H3K27ac	NA	NA	39.1515	0.5951
IHECRE00003128.2	H3K27ac	NA	NA	39.0667	0.5112
IHECRE00003129.2	H3K27ac	NA	NA	34.6683	0.5213
IHECRE00003131.2	H3K27ac	NA	NA	52.4932	0.7361
IHECRE00003132.2	H3K27ac	NA	NA	38.0294	0.5369
IHECRE00003133.2	H3K27ac	NA	NA	30.7557	0.4247
IHECRE00003134.2	H3K27ac	NA	NA	40.1414	0.5521
IHECRE00003135.2	H3K27ac	NA	NA	13.4756	0.2189
IHECRE00003136.2	H3K27ac	NA	NA	31.4427	0.4465
IHECRE00003137.2	H3K27ac	NA	NA	47.7143	0.6084
IHECRE00003138.2	H3K27ac	NA	NA	56.1603	0.7594
IHECRE00003139.2	H3K27ac	NA	NA	43.7294	0.5831
IHECRE00003140.2	H3K27ac	NA	NA	47.4449	0.6152
IHECRE00003142.2	H3K27ac	NA	NA	48.4307	0.6568
IHECRE00003143.2	H3K27ac	NA	NA	44.5409	0.6596
IHECRE00003144.2	H3K27ac	NA	NA	35.5195	0.486
IHECRE00003145.2	H3K27ac	NA	NA	44.3664	0.5917
IHECRE00003146.2	H3K27ac	NA	NA	29.6216	0.3754
IHECRE00003147.2	H3K27ac	NA	NA	54.0298	0.7439
IHECRE00003148.2	H3K27ac	NA	NA	46.426	0.6069
IHECRE00003150.2	H3K27ac	NA	NA	35.6565	0.4887
IHECRE00003151.2	H3K27ac	NA	NA	51.3812	0.6861
IHECRE00003152.2	H3K27ac	NA	NA	50.0867	0.6895
IHECRE00003153.2	H3K27ac	NA	NA	29.5915	0.384
IHECRE00003154.2	H3K27ac	NA	NA	32.1763	0.4243
IHECRE00003155.2	H3K27ac	NA	NA	36.3029	0.4754
IHECRE00003156.2	H3K27ac	NA	NA	42.0104	0.557
IHECRE00003157.2	H3K27ac	NA	NA	32.2502	0.4285
IHECRE00003158.2	H3K27ac	NA	NA	46.5511	0.6362
IHECRE00003159.2	H3K27ac	NA	NA	37.0687	0.5452
IHECRE00003160.2	H3K27ac	NA	NA	44.6293	0.67
IHECRE00003161.2	H3K27ac	NA	NA	39.0457	0.5201
IHECRE00003162.2	H3K27ac	NA	NA	44.174	0.599
IHECRE00003163.2	H3K27ac	NA	NA	47.129	0.6023
IHECRE00003164.2	H3K27ac	NA	NA	21.7599	0.3005
IHECRE00003165.2	H3K27ac	NA	NA	36.501	0.4517
IHECRE00003166.2	H3K27ac	NA	NA	48.8533	0.6726
IHECRE00003167.2	H3K27ac	NA	NA	53.0804	0.7459
IHECRE00003168.2	H3K27ac	NA	NA	42.9223	0.6656
IHECRE00003169.2	H3K27ac	NA	NA	50.1023	0.724
IHECRE00003171.2	H3K27ac	NA	NA	44.8956	0.5766
IHECRE00003172.2	H3K27ac	NA	NA	32.4774	0.428
IHECRE00003173.2	H3K27ac	NA	NA	45.7761	0.5936
IHECRE00003174.2	H3K27ac	NA	NA	52.9852	0.7142
IHECRE00003175.2	H3K27ac	NA	NA	49.292	0.698
IHECRE00003176.2	H3K27ac	NA	NA	47.1494	0.6004
IHECRE00003177.2	H3K27ac	NA	NA	56.8661	0.7512
IHECRE00003178.2	H3K27ac	NA	NA	47.6715	0.6939
IHECRE00003179.2	H3K27ac	NA	NA	48.555	0.6522
IHECRE00003180.2	H3K27ac	NA	NA	37.5946	0.5369
IHECRE00003181.2	H3K27ac	NA	NA	39.2779	0.6078
IHECRE00003182.2	H3K27ac	NA	NA	45.7991	0.5933
IHECRE00003183.2	H3K27ac	NA	NA	32.9192	0.4823
IHECRE00003184.2	H3K27ac	NA	NA	49.1458	0.7059
IHECRE00003185.2	H3K27ac	NA	NA	29.5	0.389
IHECRE00003186.2	H3K27ac	NA	NA	38.246	0.5492
IHECRE00003187.2	H3K27ac	NA	NA	44.682	0.5828
IHECRE00003188.2	H3K27ac	NA	NA	30.5353	0.4238
IHECRE00003189.2	H3K27ac	NA	NA	56.135	0.7572
IHECRE00003190.2	H3K27ac	NA	NA	39.344	0.5217
IHECRE00003191.2	H3K27ac	NA	NA	43.381	0.6036
IHECRE00003192.2	H3K27ac	NA	NA	42.2842	0.5476
IHECRE00003193.2	H3K27ac	NA	NA	37.1515	0.5559
IHECRE00003194.2	H3K27ac	NA	NA	38.62	0.5401
IHECRE00003195.2	H3K27ac	NA	NA	53.3346	0.7312
IHECRE00003196.2	H3K27ac	NA	NA	35.2766	0.4839
IHECRE00003197.2	H3K27ac	NA	NA	41.3882	0.5207
IHECRE00003198.2	H3K27ac	NA	NA	42.8669	0.5659
IHECRE00003199.2	H3K27ac	NA	NA	55.5171	0.7062
IHECRE00003200.2	H3K27ac	NA	NA	57.6726	0.7786
IHECRE00003201.2	H3K27ac	NA	NA	38.4794	0.4677
IHECRE00003202.2	H3K27ac	NA	NA	7.1729	0.1246
IHECRE00003203.2	H3K27ac	NA	NA	36.3126	0.476
IHECRE00003204.2	H3K27ac	NA	NA	42.6677	0.5501
IHECRE00003205.2	H3K27ac	NA	NA	55.8617	0.7422
IHECRE00003206.2	H3K27ac	NA	NA	46.5353	0.6142
IHECRE00003207.2	H3K27ac	NA	NA	47.8936	0.6942
IHECRE00003208.2	H3K27ac	NA	NA	51.239	0.7206
IHECRE00003209.2	H3K27ac	NA	NA	43.8004	0.5728
IHECRE00003210.2	H3K27ac	NA	NA	38.266	0.5041
IHECRE00003211.2	H3K27ac	NA	NA	46.7616	0.5998
IHECRE00003212.2	H3K27ac	NA	NA	38.7533	0.5449
IHECRE00003213.2	H3K27ac	NA	NA	17.317	0.2703
IHECRE00003214.2	H3K27ac	NA	NA	45.2276	0.6166
IHECRE00003215.2	H3K27ac	NA	NA	39.9982	0.5111
IHECRE00003216.2	H3K27ac	NA	NA	53.9037	0.7475
IHECRE00003217.2	H3K27ac	NA	NA	44.3583	0.5887
IHECRE00003218.2	H3K27ac	NA	NA	52.1402	0.6478
IHECRE00003219.2	H3K27ac	NA	NA	48.1514	0.7114
IHECRE00003220.2	H3K27ac	NA	NA	40.8982	0.5102
IHECRE00003221.2	H3K27ac	NA	NA	48.7817	0.6518
IHECRE00003222.2	H3K27ac	NA	NA	29.9947	0.3891
IHECRE00003223.2	H3K27ac	NA	NA	43.6131	0.5922
IHECRE00003224.2	H3K27ac	NA	NA	52.771	0.7445
IHECRE00003225.2	H3K27ac	NA	NA	41.9147	0.5532
IHECRE00003226.2	H3K27ac	NA	NA	25.308	0.3397
IHECRE00003227.2	H3K27ac	NA	NA	44.219	0.5514
IHECRE00003228.2	H3K27ac	NA	NA	17.7026	0.2893
IHECRE00003229.2	H3K27ac	NA	NA	11.9759	0.1756
IHECRE00003230.2	H3K27ac	NA	NA	39.7891	0.5266
IHECRE00003231.2	H3K27ac	NA	NA	45.5164	0.614
IHECRE00003232.2	H3K27ac	NA	NA	33.1798	0.4956
IHECRE00003233.2	H3K27ac	NA	NA	53.4106	0.7133
IHECRE00003234.2	H3K27ac	NA	NA	45.1628	0.5623
IHECRE00003235.2	H3K27ac	NA	NA	31.4934	0.4592
IHECRE00003236.2	H3K27ac	NA	NA	43.2529	0.5432
IHECRE00003237.2	H3K27ac	NA	NA	49.1724	0.6744
IHECRE00003238.2	H3K27ac	NA	NA	46.5257	0.6595
IHECRE00003239.2	H3K27ac	NA	NA	33.687	0.4588
IHECRE00003240.2	H3K27ac	NA	NA	47.5888	0.6083
IHECRE00003241.2	H3K27ac	NA	NA	52.7489	0.7223
IHECRE00003242.2	H3K27ac	NA	NA	51.6078	0.6802
IHECRE00003243.2	H3K27ac	NA	NA	26.7057	0.4032
IHECRE00003244.2	H3K27ac	NA	NA	47.2924	0.622
IHECRE00003245.2	H3K27ac	NA	NA	34.9561	0.4741
IHECRE00003246.2	H3K27ac	NA	NA	43.9583	0.5855
IHECRE00003247.2	H3K27ac	NA	NA	52.7991	0.7335
IHECRE00003248.2	H3K27ac	NA	NA	28.0206	0.4049
IHECRE00003249.2	H3K27ac	NA	NA	47.4287	0.676
IHECRE00003250.2	H3K27ac	NA	NA	32.7016	0.4243
IHECRE00003251.2	H3K27ac	NA	NA	41.357	0.5052
IHECRE00003252.2	H3K27ac	NA	NA	36.1074	0.4753
IHECRE00003253.2	H3K27ac	NA	NA	32.7774	0.4186
IHECRE00003254.2	H3K27ac	NA	NA	31.9577	0.4117
IHECRE00003255.2	H3K27ac	NA	NA	47.5901	0.6535
IHECRE00003256.2	H3K27ac	NA	NA	52.0953	0.7225
IHECRE00003257.2	H3K27ac	NA	NA	58.5605	0.7632
IHECRE00003258.2	H3K27ac	NA	NA	37.8908	0.5197
IHECRE00003259.2	H3K27ac	NA	NA	45.0942	0.6179
IHECRE00003260.2	H3K27ac	NA	NA	35.9194	0.5226
IHECRE00003261.2	H3K27ac	NA	NA	32.6253	0.4205
IHECRE00003262.2	H3K27ac	NA	NA	25.2666	0.389
IHECRE00003263.2	H3K27ac	NA	NA	40.2166	0.5807
IHECRE00003264.2	H3K27ac	NA	NA	49.0848	0.7243
IHECRE00003265.2	H3K27ac	NA	NA	47.4521	0.6194
IHECRE00003266.2	H3K27ac	NA	NA	43.3631	0.5561
IHECRE00003267.2	H3K27ac	NA	NA	52.009	0.7227
IHECRE00003268.2	H3K27ac	NA	NA	41.6415	0.5798
IHECRE00003269.2	H3K27ac	NA	NA	38.0074	0.5139
IHECRE00003270.2	H3K27ac	NA	NA	46.4183	0.6087
IHECRE00003271.2	H3K27ac	NA	NA	32.4429	0.4429
IHECRE00003272.2	H3K27ac	NA	NA	35.5732	0.4638
IHECRE00003273.2	H3K27ac	NA	NA	18.5204	0.3056
IHECRE00003274.2	H3K27ac	NA	NA	53.7575	0.7218
IHECRE00003275.2	H3K27ac	NA	NA	34.3709	0.4856
IHECRE00003276.2	H3K27ac	NA	NA	39.989	0.5061
IHECRE00003277.2	H3K27ac	NA	NA	36.3261	0.5084
IHECRE00003278.2	H3K27ac	NA	NA	47.3665	0.6583
IHECRE00003279.2	H3K27ac	NA	NA	33.3319	0.4314
IHECRE00003280.2	H3K27ac	NA	NA	34.8273	0.4706
IHECRE00003281.2	H3K27ac	NA	NA	39.7403	0.4813
IHECRE00003282.2	H3K27ac	NA	NA	25.4652	0.363
IHECRE00003283.2	H3K27ac	NA	NA	48.8711	0.6958
IHECRE00003284.2	H3K27ac	NA	NA	42.1672	0.5853
IHECRE00003285.2	H3K27ac	NA	NA	26.2806	0.4476
IHECRE00003286.2	H3K27ac	NA	NA	46.8262	0.652
IHECRE00003287.2	H3K27ac	NA	NA	40.9326	0.5825
IHECRE00003288.2	H3K27ac	NA	NA	48.1984	0.6459
IHECRE00003289.2	H3K27ac	NA	NA	43.0507	0.5439
IHECRE00003290.2	H3K27ac	NA	NA	49.8837	0.6667
IHECRE00003291.2	H3K27ac	NA	NA	36.6843	0.502
IHECRE00003292.2	H3K27ac	NA	NA	45.5211	0.6867
IHECRE00003293.2	H3K27ac	NA	NA	34.7362	0.4821
IHECRE00003294.2	H3K27ac	NA	NA	41.5967	0.5012
IHECRE00003295.2	H3K27ac	NA	NA	50.5845	0.7029
IHECRE00003296.2	H3K27ac	NA	NA	47.2613	0.6832
IHECRE00003297.2	H3K27ac	NA	NA	33.6303	0.4668
IHECRE00003298.2	H3K27ac	NA	NA	49.1509	0.6777
IHECRE00003299.2	H3K27ac	NA	NA	46.4962	0.6647
IHECRE00003300.2	H3K27ac	NA	NA	51.9738	0.7113
IHECRE00003301.2	H3K27ac	NA	NA	42.2847	0.5755
IHECRE00003302.2	H3K27ac	NA	NA	42.6461	0.6019
IHECRE00003303.2	H3K27ac	NA	NA	40.1596	0.5181
IHECRE00003304.2	H3K27ac	NA	NA	37.8392	0.509
IHECRE00003305.2	H3K27ac	NA	NA	29.6946	0.4535
IHECRE00003306.2	H3K27ac	NA	NA	49.6981	0.7417
IHECRE00003307.2	H3K27ac	NA	NA	41.4141	0.5372
IHECRE00003308.2	H3K27ac	NA	NA	45.1602	0.5862
IHECRE00003309.2	H3K27ac	NA	NA	43.3495	0.5623
IHECRE00003310.2	H3K27ac	NA	NA	19.0263	0.3276
IHECRE00003311.2	H3K27ac	NA	NA	54.5463	0.7541
IHECRE00003312.2	H3K27ac	NA	NA	32.9264	0.4394
IHECRE00003313.2	H3K27ac	NA	NA	27.6715	0.4292
IHECRE00003314.2	H3K27ac	NA	NA	37.2325	0.5089
IHECRE00003315.2	H3K27ac	NA	NA	35.8326	0.4786
IHECRE00003316.2	H3K27ac	NA	NA	35.8698	0.5004
IHECRE00003317.2	H3K27ac	NA	NA	34.9288	0.4334
IHECRE00003318.2	H3K27ac	NA	NA	52.5078	0.6798
IHECRE00003319.2	H3K27ac	NA	NA	35.7361	0.4974
IHECRE00003320.2	H3K27ac	NA	NA	41.8389	0.5883
IHECRE00003321.2	H3K27ac	NA	NA	37.9497	0.5232
IHECRE00003322.2	H3K27ac	NA	NA	47.5959	0.638
IHECRE00003323.2	H3K27ac	NA	NA	59.9089	0.7874
IHECRE00003324.2	H3K27ac	NA	NA	32.2904	0.4381
IHECRE00003325.2	H3K27ac	NA	NA	50.0577	0.6802
IHECRE00003326.2	H3K27ac	NA	NA	9.8992	0.1805
IHECRE00003327.2	H3K27ac	NA	NA	46.5817	0.6352
IHECRE00003328.2	H3K27ac	NA	NA	27.9853	0.4562
IHECRE00003329.2	H3K27ac	NA	NA	35.2836	0.4527
IHECRE00003330.2	H3K27ac	NA	NA	38.8808	0.5397
IHECRE00003331.2	H3K27ac	NA	NA	44.6238	0.587
IHECRE00003332.2	H3K27ac	NA	NA	38.3715	0.5292
IHECRE00003333.2	H3K27ac	NA	NA	42.9151	0.5316
IHECRE00003334.2	H3K27ac	NA	NA	37.8913	0.5301
IHECRE00003335.2	H3K27ac	NA	NA	38.8178	0.5163
IHECRE00003336.2	H3K27ac	NA	NA	49.265	0.6721
IHECRE00003337.2	H3K27ac	NA	NA	39.3629	0.5539
IHECRE00003338.2	H3K27ac	NA	NA	36.5981	0.5481
IHECRE00003339.2	H3K27ac	NA	NA	45.7867	0.6024
IHECRE00003340.2	H3K27ac	NA	NA	52.0291	0.7163
IHECRE00003341.2	H3K27ac	NA	NA	46.3165	0.6311
IHECRE00003342.2	H3K27ac	NA	NA	41.6349	0.5398
IHECRE00003343.2	H3K27ac	NA	NA	41.5888	0.5927
IHECRE00003344.2	H3K27ac	NA	NA	44.2941	0.6348
