epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00000187.3	H3K27ac	63.0985	0.8317	43.8757	0.7023
IHECRE00000188.3	H3K27ac	80.4215	0.9427	52.9767	0.7958
IHECRE00000190.3	H3K27ac	82.4203	0.9222	54.2059	0.681
IHECRE00000191.3	H3K27ac	40.7879	0.5242	26.361	0.4182
IHECRE00000193.3	H3K27ac	47.2417	0.7124	37.9741	0.646
IHECRE00000194.3	H3K27ac	56.8084	0.7931	39.1271	0.6523
IHECRE00000195.3	H3K27ac	75.4546	0.8464	51.1619	0.7205
IHECRE00000221.3	H3K27ac	38.2549	0.6266	33.3921	0.5873
IHECRE00000222.3	H3K27ac	63.6882	0.8269	43.7561	0.6631
IHECRE00000223.3	H3K27ac	59.7139	0.8028	38.3611	0.581
IHECRE00000224.3	H3K27ac	65.9543	0.8583	48.2084	0.7302
IHECRE00000225.3	H3K27ac	71.8532	0.8567	35.1169	0.4898
IHECRE00000226.3	H3K27ac	67.632	0.8504	41.2687	0.613
IHECRE00000227.3	H3K27ac	73.5369	0.8701	37.0791	0.5247
IHECRE00000228.3	H3K27ac	41.2831	0.6386	32.8968	0.5656
IHECRE00000229.3	H3K27ac	79.6831	0.9009	51.8497	0.7223
IHECRE00000230.3	H3K27ac	68.9643	0.8627	41.4586	0.6796
IHECRE00000231.3	H3K27ac	60.2007	0.7873	43.7835	0.6554
IHECRE00000232.3	H3K27ac	71.0392	0.856	39.9763	0.5774
IHECRE00000233.3	H3K27ac	60.5838	0.7924	37.7058	0.5601
IHECRE00000234.3	H3K27ac	47.4354	0.6596	22.1585	0.3477
IHECRE00000235.3	H3K27ac	46.465	0.6136	20.7514	0.3221
IHECRE00000236.3	H3K27ac	69.791	0.8567	39.4385	0.6223
IHECRE00000237.3	H3K27ac	65.4044	0.8224	52.1098	0.7449
IHECRE00000238.3	H3K27ac	68.8798	0.8227	43.1711	0.5716
IHECRE00000239.3	H3K27ac	54.3099	0.7756	29.9541	0.4699
IHECRE00000240.3	H3K27ac	67.7098	0.7607	52.2684	0.6793
IHECRE00000241.3	H3K27ac	65.2497	0.7569	43.5836	0.6738
IHECRE00000242.3	H3K27ac	33.6042	0.5596	16.7205	0.3183
IHECRE00000243.3	H3K27ac	65.1466	0.8527	45.256	0.663
IHECRE00000244.3	H3K27ac	66.7214	0.7437	42.1842	0.5173
IHECRE00000246.3	H3K27ac	62.8792	0.826	33.756	0.5389
IHECRE00000247.3	H3K27ac	64.4425	0.8483	40.8015	0.6717
IHECRE00000248.2	H3K27ac	75.956	0.8701	53.5093	0.7923
IHECRE00000249.2	H3K27ac	62.6304	0.8616	40.6771	0.6877
IHECRE00000250.2	H3K27ac	62.1092	0.7845	36.7914	0.577
IHECRE00000251.2	H3K27ac	81.8538	0.9005	55.8036	0.7863
IHECRE00000252.2	H3K27ac	68.3392	0.7956	51.3819	0.639
IHECRE00000256.2	H3K27ac	86.1504	0.9165	53.6471	0.7096
IHECRE00000257.2	H3K27ac	59.3288	0.8227	45.9317	0.7266
IHECRE00000258.2	H3K27ac	81.9753	0.9501	54.521	0.8068
IHECRE00000260.2	H3K27ac	27.4974	0.4899	24.5973	0.5112
IHECRE00000261.2	H3K27ac	29.8267	0.5076	18.1058	0.2967
IHECRE00000262.2	H3K27ac	78.3928	0.9042	54.2387	0.7753
IHECRE00000263.2	H3K27ac	61.3655	0.8309	41.4006	0.6563
IHECRE00000265.2	H3K27ac	85.0238	0.9118	53.5783	0.7127
IHECRE00000267.2	H3K27ac	68.1485	0.8736	55.9972	0.804
IHECRE00000269.2	H3K27ac	68.4043	0.8277	46.7454	0.6331
IHECRE00000270.2	H3K27ac	9.3168	0.2837	7.9843	0.2162
IHECRE00000271.2	H3K27ac	75.5262	0.8783	52.1906	0.7521
IHECRE00000277.2	H3K27ac	62.3695	0.847	42.8675	0.6769
IHECRE00000279.2	H3K27ac	70.9864	0.8749	50.9319	0.7714
IHECRE00000280.2	H3K27ac	76.2606	0.9012	52.5253	0.7895
IHECRE00000281.2	H3K27ac	38.8826	0.7191	31.5599	0.6481
IHECRE00000283.2	H3K27ac	80.8839	0.9242	47.5581	0.7229
IHECRE00000284.2	H3K27ac	85.7479	0.9103	55.405	0.7509
IHECRE00000285.2	H3K27ac	80.4327	0.878	54.0012	0.7884
IHECRE00000288.2	H3K27ac	28.1835	0.5904	24.4531	0.5313
IHECRE00000290.2	H3K27ac	74.8252	0.8617	48.3598	0.7655
IHECRE00000294.2	H3K27ac	82.7064	0.9186	56.3868	0.7859
IHECRE00000295.2	H3K27ac	53.9283	0.7478	33.7752	0.5624
IHECRE00000296.2	H3K27ac	62.3903	0.8536	40.8722	0.685
IHECRE00000297.2	H3K27ac	69.1454	0.7872	41.7965	0.6552
IHECRE00000298.2	H3K27ac	75.8336	0.9032	51.2147	0.7752
IHECRE00000301.2	H3K27ac	80.9307	0.885	53.9304	0.7631
IHECRE00000303.2	H3K27ac	67.2623	0.8001	35.606	0.5065
IHECRE00000304.2	H3K27ac	79.1526	0.9106	53.98	0.7725
IHECRE00000308.2	H3K27ac	87.7173	0.9612	53.6998	0.7104
IHECRE00000309.2	H3K27ac	71.8989	0.8966	50.2521	0.7644
IHECRE00000310.2	H3K27ac	60.453	0.8565	45.4304	0.7489
IHECRE00000311.2	H3K27ac	64.4366	0.796	49.8687	0.6506
IHECRE00000315.2	H3K27ac	6.3049	0.1903	5.7209	0.1555
IHECRE00000316.2	H3K27ac	49.3322	0.7639	39.5891	0.6661
IHECRE00000317.2	H3K27ac	84.0867	0.8956	56.8029	0.8112
