uuid,data_generating_centre,epirr_id,total,fraction_mapped,fraction_duplicates,fraction_rrna,fraction_intergenic
b6bbca0f-aec9-4cda-8e43-a9d087ac0caa,BLUEPRINT,IHECRE00000285.2,225182632,0.974787,0.328228,0.000373599,0.0269006
54c18699-9cc5-41a8-8565-b5c29b79ed90,BLUEPRINT,IHECRE00000286.2,45618461,0.957926,0.69295,0.00031591,0.0271549
6b7209cd-5c73-4f1a-89f3-a215d91c2f19,BLUEPRINT,IHECRE00000290.2,219361822,0.97374,0.190895,0.000451902,0.0627025
e73d4203-cf45-49e8-b14d-f5a242ea7381,BLUEPRINT,IHECRE00000291.2,33720669,0.944293,0.734323,0.00343896,0.032995
b7a77110-39e7-48bd-b794-10be20436941,BLUEPRINT,IHECRE00000294.2,227972856,0.973022,0.358893,0.000927863,0.0303977
cf4373ba-aef5-427a-9d07-ad5b91ccee07,BLUEPRINT,IHECRE00000295.2,222648442,0.974897,0.344066,0.000516845,0.0354155
964b7a2c-e841-4054-aec5-42db7d92033b,BLUEPRINT,IHECRE00000296.2,190969260,0.969515,0.375977,0.000559878,0.035862
0b78bb7f-261b-4dd3-9e7e-72ed1de39cdc,BLUEPRINT,IHECRE00000297.2,219635734,0.97914,0.219816,0.000879364,0.0430287
f7252417-1731-41ee-bd33-e56e67c2e678,BLUEPRINT,IHECRE00000298.2,216485712,0.969103,0.336282,0.000701392,0.035416
6738a669-8399-4486-92c1-5015ec7afc8a,BLUEPRINT,IHECRE00000299.2,43899492,0.935959,0.74574,0.00172943,0.0191067
e9638183-b8ed-417d-a26a-b6d471199cda,BLUEPRINT,IHECRE00000300.2,28093593,0.968273,0.851875,0.00476751,0.0246862
db6c34f0-5f32-4cbb-b25b-43face52eebb,BLUEPRINT,IHECRE00000301.2,219010866,0.976842,0.27223,0.00131081,0.0329251
92082b56-694d-41f5-bba9-842a01425116,BLUEPRINT,IHECRE00000303.2,209474884,0.963181,0.608137,0.00114675,0.0239291
d6d8a395-92f6-4bad-8f81-6ebfe271c864,BLUEPRINT,IHECRE00000304.2,215041428,0.97399,0.366184,0.000580158,0.0265376
528856e6-7045-4d81-8edc-ef0af09281c5,BLUEPRINT,IHECRE00000305.2,42686344,0.912865,0.815882,0.00459862,0.0114454
07a1c957-71f5-4ad2-9025-e3a8c33c78bd,BLUEPRINT,IHECRE00000308.2,233534262,0.97729,0.313782,0.000412565,0.0281236
26319206-7276-4686-a51d-f015d603d085,BLUEPRINT,IHECRE00000309.2,235700594,0.977066,0.333944,0.0017512,0.0296876
e156be7a-d0ca-449e-97c2-ca6d219b1e0f,BLUEPRINT,IHECRE00000310.2,225463584,0.969434,0.392333,0.000368419,0.0263213
5aec82af-133d-417a-b01e-5ea8792ef0e8,BLUEPRINT,IHECRE00000311.2,233738378,0.956584,0.534516,0.00303681,0.0435564
103ffcc8-5140-419e-81f6-ff44882e7f4b,BLUEPRINT,IHECRE00000315.2,222610044,0.977537,0.178836,0.000690071,0.0460914
2b903a7c-e328-4920-9279-d7c568697270,BLUEPRINT,IHECRE00000316.2,174989272,0.979786,0.430163,0.000471578,0.0237518
33af256e-b70d-485e-b52b-ec2bcb754aa7,BLUEPRINT,IHECRE00000317.2,238826856,0.975077,0.220738,0.000785195,0.0302068
8ab5cfe7-ec06-4fcc-8632-83fe6ad66e0f,BLUEPRINT,IHECRE00000318.2,237531118,0.9829,0.368236,0.000386685,0.0186773
87930720-67f7-4400-893b-754d8f2e6b23,BLUEPRINT,IHECRE00000320.2,32993214,0.888401,0.885049,0.00211223,0.0204495
f804f5b7-85b9-4711-b908-217a0e03671b,BLUEPRINT,IHECRE00000321.2,242736824,0.973697,0.190289,0.000546697,0.0502901
350684ba-afa4-4b9b-9847-33bd9ad03876,BLUEPRINT,IHECRE00000323.2,29334082,0.954757,0.810301,0.00119838,0.0193876
56e9d5c4-735e-4fe5-9fec-0fedb981d581,BLUEPRINT,IHECRE00000324.2,229927486,0.972585,0.366856,0.0064464,0.0721531
993072f4-71d4-4505-934a-1018e3d7a78c,BLUEPRINT,IHECRE00000325.2,43210669,0.961747,0.765651,0.000516943,0.0228779
addcc37b-9ecb-4f08-90ca-402ad4db8712,BLUEPRINT,IHECRE00000327.2,239659236,0.978792,0.221357,0.000180108,0.0293
ee9d6455-1cc9-4951-a224-324fe166fe55,BLUEPRINT,IHECRE00000329.2,217180072,0.964833,0.239707,0.00101546,0.0446399
4b06b99c-775b-474e-b831-17ceff4c5077,BLUEPRINT,IHECRE00000330.2,230353946,0.97016,0.310008,0.000455298,0.0304431
0dd3b40f-bb15-4240-9bb5-71a0385bd0a2,BLUEPRINT,IHECRE00000332.2,228853642,0.980577,0.170663,0.000415287,0.0419506
f635e050-b42f-437e-8d95-38f0386622aa,BLUEPRINT,IHECRE00000334.2,38732275,0.963358,0.81342,0.00183113,0.0202957
4534bbac-291c-4712-94a2-d18bb1f4978e,BLUEPRINT,IHECRE00000335.2,219618170,0.970037,0.344285,0.00174986,0.0360864
f60d8ef6-88ef-4668-a182-829e43f0a52c,BLUEPRINT,IHECRE00000338.2,21068950,0.915101,0.891364,0.0137198,0.0252863
08ee2b1f-6760-4176-9a78-abd1d6434342,BLUEPRINT,IHECRE00000339.2,239458424,0.949731,0.275009,0.000488363,0.0408717
8084c9f4-b0d4-4a65-a7d3-f99917853ec4,BLUEPRINT,IHECRE00000341.2,203806294,0.943625,0.578389,0.000970628,0.0402747
77205869-8ddc-4856-a6c4-b10ff1248031,BLUEPRINT,IHECRE00000342.3,155293078,0.969874,0.255831,0.000951241,0.0445349
3ccb876a-b25b-4791-adb5-a73036f1ba92,BLUEPRINT,IHECRE00000343.2,226419352,0.974219,0.235928,0.000510445,0.0344215
a1d093e4-a419-4ef1-83c6-423399fddfde,BLUEPRINT,IHECRE00000346.2,225809816,0.967918,0.216657,0.000183817,0.0352654
ae951746-26fd-43a8-9751-71c450e87724,BLUEPRINT,IHECRE00000347.2,211949004,0.973449,0.322963,0.000659175,0.0461895
cc6a252e-6c78-4068-876f-9dc100a0f848,BLUEPRINT,IHECRE00000348.2,237252416,0.973851,0.284207,0.000548075,0.0420281
